logtime,invtime,surface,time,measure,sample,article,metadata_orig,metadata,sessionN,length,space,subj,setorder,rspan,voc,dependent,articleN,screenN,lineN,segmentN,sample_screen,is_first,is_last,is_second_last,infostatus,definiteness,specificity,animacy,sentience,agentivity,commonness,CLRHST,CLRMST,CLRFUT,CLRHRT,CLRHSL,CLRMSL,CLRFUL,CLRHRL,CLMHST,CLMMST,CLMFUT,CLMHRT,CLMHSL,CLMMSL,CLMFUL,CLMHRL,WLSPSUWA,WLSPSUWB,WLSPSUWC,WLSPSUWD,WLSPLUWA,WLSPLUWB,WLSPLUWC,WLSPLUWD,cbow_norm,cbow_prev,skip_norm,skip_prev,count,count_ave,count_log,count_ave_log,count_ave_kika,bid,did,type_pred,dist_invga,type_ga,dist_invo,type_o,dist_invni,type_ni
2.8095597146352675,0.0015503875968992248,_,645,1,1,1,13,6,1,5,1,1,1,2,37.1,0,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,33,274,1,4,33,295,57.23274006702139,0,5.860149680663145,0,179004925,89502462.5,27.415424040305368,26.415424040305364,11.773109067268829,0,1,1,0,5,0,3,0,3
2.4885507165004443,0.003246753246753247,_,308,1,1,1,13,6,1,2,1,1,1,2,37.1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,11,110,1,2,11,116,100.63940047186772,0.2489914027680507,3.711385847721303,0.49692090021895574,1111440021,555720010.5,30.04978294923317,29.049782949233165,19.119769134367203,1,2,1,0,5,0,3,0,3
2.5237464668115646,0.0029940119760479044,_,334,1,1,1,13,6,1,5,1,1,1,2,37.1,0,1,1,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,15,123,1,2,15,131,66.76411772467041,0.15004666835911623,5.899795364169706,0.3180704583681598,179151588,89575794.0,27.416605590755676,26.41660559075568,15.44972839449537,0,1,1,0,5,0,3,0,3
2.2380461031287955,0.005780346820809248,_,173,1,1,1,13,6,1,7,1,1,1,2,37.1,0,1,1,3,1,1,2,1,1,2,4,4,3,3,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,20,176,1,3,20,187,166.86290918399098,0.3442600961834117,8.349389441149084,0.5158663878816591,330312108,82578027.0,28.2992546134677,26.2992546134677,17.129442901271574,0,1,1,0,5,0,3,0,3
2.514547752660286,0.0030581039755351682,_,327,1,1,1,13,6,1,2,1,1,1,2,37.1,1,1,1,3,2,1,1,1,2,2,4,3,3,3,5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,23,213,1,3,23,227,51.98018320910911,0.005478703983514978,4.012300045904129,0.2818838108449087,326762,326762.0,18.317880692929126,18.317880692929126,12.696987356137281,1,2,1,0,5,0,3,0,3
2.739572344450092,0.0018214936247723133,_,549,1,1,1,13,6,1,3,1,1,1,2,37.1,1,1,1,3,3,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,25,234,1,3,25,251,24.278619984445953,0.1315111666262776,3.3442943644392846,0.30807712730582165,76891,76891.0,16.23052712188175,16.23052712188175,11.25014411353406,2,-1,3,1.0,1,1.0,1,0,3
2.8790958795000727,0.001321003963011889,_,757,1,1,1,12,5,1,7,1,1,1,2,37.1,0,1,1,4,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,23,212,1,3,23,226,137.33720476730866,0.011956683937135275,9.694118316165625,0.30023600771010084,16059462,4014865.5,23.936920226871692,21.936920226871692,15.007223794826285,0,-1,3,0.3333333333333333,6,0,3,0,3
2.311753861055754,0.004878048780487805,_,205,1,1,1,12,5,1,7,1,1,1,2,37.1,0,1,1,5,2,1,1,1,1,2,2,3,3,3,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,17,134,1,2,17,143,170.05226554574705,-0.03914124191647105,10.54944669891499,0.5842044475202329,979887888,195977577.6,29.868041454572815,27.546113359685453,16.732414773140484,1,2,1,0,5,0,3,0,3
1.8920946026904804,0.01282051282051282,_,78,1,1,1,8,1,1,4,1,1,1,2,37.1,1,1,2,3,2,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,17,134,1,2,17,143,82.73056378201315,0.26859070668814755,4.977917291309431,0.562346018094801,38094515,19047257.5,25.183079951904997,24.183079951904997,16.301814611347325,1,2,1,0,5,0,3,0,3
2.450249108319361,0.0035460992907801418,_,282,1,1,1,8,1,1,7,1,1,1,2,37.1,1,1,2,3,4,12,1,1,1,2,2,3,3,3,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,17,134,1,2,17,143,144.52073029610017,0.3572299272048635,10.398063083220768,0.576677699782875,1875927767,375185553.4,30.804957131627837,28.483029036740476,17.039751016617178,3,7,1,0,5,0,3,0,3
2.2430380486862944,0.005714285714285714,_,175,1,1,1,8,1,1,4,1,1,1,2,37.1,0,1,2,3,5,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,3,20,180,4,3,20,192,21.293466716787325,0.41865121282832884,2.4992680320857685,0.4346064018874628,2044764,2044764.0,20.96350291093755,20.96350291093755,14.53079293737657,4,6,1,0,5,0,3,0,3
